originalName,correctName
衢州学院图书馆图书馆,衢州学院图书馆
长春光华学院图书馆图书馆,长春光华学院图书馆
长春建筑学院图书馆图书馆,长春建筑学院图书馆
营口理工学院图书馆图书馆,营口理工学院图书馆
石家庄外事职业学院图书馆,石家庄经济职业学院图书馆
民办黑龙江东方学院图书馆,黑龙江东方学院图书馆
河南工学院（原河南机电高等专科学校）图书馆,河南工学院图书馆
吉林农业工程职业技术学院图书馆,吉林工程职业学院图书馆
天津中德职业技术学院图书馆,天津中德应用技术大学图书馆
泸州医学院图书馆,西南医科大学图书馆
海南热带海洋学院（原琼州学院）图书馆,海南热带海洋学院图书馆
北京建筑工程学院图书馆,北京建筑大学图书馆
西南林学院图书馆,西南林业大学图书馆
成都艺术职业学院图书馆,成都艺术职业大学图书馆
沈阳航空航天大学（原沈阳航空工业学院）图书馆,沈阳航空航天大学图书馆
柳州运输职业技术学院图书馆,柳州铁道职业技术学院图书馆
广东技术师范学院图书馆,广东技术师范大学图书馆
山西财政税务专科学校图书馆,山西省财政税务专科学校图书馆
天津青年职业学院图书馆,天津市职业大学图书馆
西藏藏医学院图书馆,西藏藏医药大学图书馆
吉林财经大学（原长春税务学院）图书馆,吉林财经大学图书馆
太原大学图书馆,太原学院图书馆
天津职业大学图书馆,天津市职业大学图书馆
长沙师范学校图书馆,长沙师范学院图书馆
重庆机电职业技术学院图书馆,重庆机电职业技术大学图书馆
承德民族师范高等专科学校图书馆,河北民族师范学院图书馆
武汉东湖学院（原武汉大学东湖分校）图书馆,武汉东湖学院图书馆
南京特殊教育职业技术学院图书馆,南京特殊教育师范学院图书馆
西安财经学院行知学院图书馆,西安财经大学行知学院图书馆
山西青年管理干部学院图书馆,山西青年职业学院图书馆
江西经济管理干部学院图书馆,江西经济管理职业学院图书馆
浙江树人大学图书馆,浙江树人学院图书馆
石家庄影视艺术职业学院图书馆,河北传媒学院图书馆
山西煤炭管理干部学院图书馆,山西能源学院图书馆
云南中医学院图书馆,云南中医药大学图书馆
汉江师范学院（郧阳师范高等专科学校）图书馆,汉江师范学院图书馆
赣州卫生健康职业学院图书馆,赣南卫生健康职业学院图书馆
阜阳师范学院图书馆,阜阳师范大学图书馆
淮海工学院图书馆,江苏海洋大学图书馆
云南财经大学（原云南财贸学院）图书馆,云南财经大学图书馆
郑州轻工业学院图书馆,郑州轻工业大学图书馆
浙江农业商贸职业学院 图书馆,浙江农业商贸职业学院图书馆
湖南商学院图书馆,湖南工商大学图书馆
湖北民族学院科技学院图书馆,湖北民族大学科技学院图书馆
大理学院图书馆,大理大学图书馆
南昌职业学院图书馆,南昌职业大学图书馆
成都信息工程大学（原成都信息工程学院）图书馆,成都信息工程大学图书馆
辽宁交通高等专科学校图书馆,辽宁省交通高等专科学校图书馆
宁夏司法警官职业学院图书馆,宁夏警官职业学院图书馆
上海电力学院图书馆,上海电力大学图书馆
广东技术师范学院天河学院图书馆,广东技术师范大学天河学院图书馆
上海应用技术学院图书馆,上海应用技术大学图书馆
山西经济管理干部学院图书馆,山西经贸职业学院图书馆
天津城市建设大学图书馆,天津城建大学图书馆
呼和浩特民族学院（原内蒙古民族高等专科学校）图书馆,呼和浩特民族学院图书馆
湖南省第一师范学校图书馆,湖南第一师范学院图书馆
襄樊学院图书馆,湖北文理学院图书馆
